date,day,shed_count,adherence,routine_steps_done,hair_length_inches,scalp_image,image_density_score,breakage_observed,wash_day,hair_products,No,sleep_hours,stress_10,notes
1/20/2026,50,4,FALSE,"Shampoo, Hair Mask, Hair Oil",,,,,Yes,"Empress Shampoo, Cream Silk Hair Mask, Bremod Hair Oil",No,5,3,
1/21/2026,51,21,FALSE,"Shampoo, Hair Mask, Hair Oil",,,,,Yes,"Empress Shampoo, Cream Silk Hair Mask, Bremod Hair Oil",No,5,5,
1/22/2026,52,11,FALSE,"Shampoo, Hair Mask, Hair Oil",,,,,Yes,"Empress Shampoo, Cream Silk Hair Mask, Bremod Hair Oil",No,6,3,
1/23/2026,53,7,FALSE,"Shampoo, Hair Mask, Hair Oil",,,,,Yes,"Empress Shampoo, Cream Silk Hair Mask, Bremod Hair Oil",No,7,8,
1/24/2026,54,12,FALSE,"Shampoo, Hair Mask, Hair Oil",,,,,Yes,"Empress Shampoo, Cream Silk Hair Mask, Bremod Hair Oil",No,11,7,
1/25/2026,55,20,FALSE,"Shampoo, Hair Oil, Conditioner",29.2,,"WEEK 8, 36 (21-40 Sparse)",No,Yes,"Luxe Organic Clarifying Shampoo, Luxe Organic Curl and Define, Bremod Hair Oil",No,8,3,82 total shed count
1/26/2026,56,7,FALSE,"Shampoo, Hair Mask",,,,,Yes,"Head and Shoulders Shampoo, Hair mask",No,5,4,
1/27/2026,57,18,FALSE,"Shampoo, Hair Mask, Hair Oil",,,,,Yes,"Empress Shampoo, Cream Silk Hair Mask, Bremod Hair Oil",No,7,4,
1/28/2026,58,9,FALSE,"Shampoo, Hair Mask, Hair Oil",,,,,Yes,"Empress Shampoo, Cream Silk Hair Mask, Bremod Hair Oil",No,7,5,
1/29/2026,59,21,FALSE,"Shampoo, Hair Mask, Hair Oil",,,,,Yes,"Empress Shampoo, Cream Silk Hair Mask, Bremod Hair Oil",No,5,4,
1/30/2026,60,15,FALSE,"Shampoo, Hair Mask, Hair Oil",,,,,Yes,"Empress Shampoo, Cream Silk Hair Mask, Bremod Hair Oil",No,4,5,
1/31/2026,61,2,FALSE,,,,,,No,,No,12,6,
2/1/2026,62,13,FALSE,"Shampoo, Hair Mask, Hair Oil",29.5,,"WEEK 9, 38 (21-40 Sparse)",No,Yes,"Empress Shampoo, Cream Silk Hair Mask, Bremod Hair Oil",No,9,9,85 total shed count
2/2/2026,63,20,FALSE,"Shampoo, Hair Mask, Hair Oil",,,,,Yes,"Empress Shampoo, Cream Silk Hair Mask, Bremod Hair Oil",No,4,8,
2/3/2026,64,7,FALSE,"Conditioner, Hair Oil",,,,,Yes,"Luxe Organic Curl Conditioner, Bremod Hair Oil",No,6,7,
2/4/2026,65,3,FALSE,Hair Mask,,,,,Yes,Cream Silk Hair Mask,No,4,5,
2/5/2026,66,15,FALSE,"Hair Oil, Conditioner, Shampoo",,,,,Yes,"Bremod Hair Oil, Luxe Organic Curl Conditioner, Luxe Organic Clarifying Shampoo",No,4,7,
2/6/2026,67,27,FALSE,"Shampoo, Hair Mask, Hair Oil",,,,,Yes,"Empress Shampoo, Cream Silk Hair Mask, Bremod Hair Oil",No,14,2,
2/7/2026,68,3,FALSE,,,,,,No,,No,4,4,
2/8/2026,69,7,FALSE,,29.8,,"WEEK 10, 40 (21-40 Sparse)",No,No,,No,,6,83 total shed count
